Experiment,Dataset,RootPolicy,Root_Ratio,Compression_Time(s),Cache_Ratio(%),Cache_Size,ChainMaxLength,Recall@1,QPS(avg),QPS_StdDev,Mean_Latency(us),P99_Latency(us),Decoding_Calls,Distance_Computations,GetOriginalData_Calls,Backtrack_Hops,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call,Cache_Hit_Rate,Avg_Encoding_Chain_Length,Index_Size,Compressed_Index_Size,Compression_Ratio,Num_Rounds
root_policy_ablation,sift-128-euclidean,random,0.0100,63.573764,0.00,0,2,0.990900,41.18,0.00,24283.93,34340.00,61385669,1174754,30845490,30540179,6138.566900,0.990102,0.000000,0.990000,1176565044,277609538,0.235949,1
root_policy_ablation,sift-128-euclidean,level,0.0100,53.961508,0.00,0,2,0.991300,42.17,0.00,23709.82,32859.00,60404680,1157209,30820602,29584078,6040.468000,0.959880,0.000000,0.990000,1176565180,277587180,0.235930,1
root_policy_ablation,sift-128-euclidean,level0degree,0.0100,50.545460,0.00,0,2,0.991600,41.68,0.00,23993.09,33113.00,61058363,1148663,30816983,30241380,6105.836300,0.981322,0.000000,0.990000,1176565384,277917741,0.236211,1
