Dataset,Method,CompressionRatio,PQ_M,CodeBits,K,ef,Recall,TimePerQuery(ms),Latency(us),QPS,TrainTime(s),AddTime(s),BuildTime(s),Status,Message
gist-960-euclidean,PQ,8,480,8,1,120,0.789000,4.066473,4066.473000,245.913350,63.965557,1370.088864,1434.054421,ok,
gist-960-euclidean,PQ,8,480,8,1,200,0.819000,5.731031,5731.031000,174.488674,63.965557,1370.088864,1434.054421,ok,
gist-960-euclidean,PQ,8,480,8,1,400,0.848000,9.536370,9536.370000,104.861703,63.965557,1370.088864,1434.054421,ok,
gist-960-euclidean,PQ,16,240,8,1,10,0.367000,0.558486,558.486000,1790.555180,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,20,0.433000,0.640891,640.891000,1560.327731,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,40,0.508000,0.896278,896.278000,1115.725255,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,80,0.559000,1.360709,1360.709000,734.910991,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,120,0.585000,1.815549,1815.549000,550.797582,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,200,0.602000,2.708665,2708.665000,369.185558,30.585578,626.009947,656.595525,ok,
gist-960-euclidean,PQ,16,240,8,1,400,0.623000,4.727003,4727.003000,211.550532,30.585578,626.009947,656.595525,ok,
sift-128-euclidean,HNSW,1,0,32,1,10,0.799000,0.083302,83.301800,12004.542519,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,20,0.900700,0.128214,128.213800,7799.472444,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,40,0.956000,0.226415,226.414800,4416.672408,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,80,0.981700,0.421961,421.961100,2369.886703,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,120,0.987600,0.596016,596.015500,1677.808715,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,200,0.991800,0.976029,976.028700,1024.560036,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,HNSW,1,0,32,1,400,0.992900,1.840845,1840.845300,543.228700,0.000001,147.858689,147.858690,ok,
sift-128-euclidean,SQ,2,0,16,1,10,0.797800,0.160699,160.698900,6222.817953,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,20,0.899500,0.249557,249.556600,4007.107005,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,40,0.956000,0.409853,409.853300,2439.897397,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,80,0.983000,0.722766,722.765800,1383.574043,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,120,0.988600,1.000481,1000.480600,999.519631,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,200,0.991700,1.568387,1568.387000,637.597736,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,2,0,16,1,400,0.992400,2.897268,2897.267800,345.152768,0.000001,252.406356,252.406357,ok,
sift-128-euclidean,SQ,4,0,8,1,10,0.789000,0.090825,90.824500,11010.245033,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,20,0.888500,0.134935,134.934700,7410.992132,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,40,0.945200,0.229805,229.805100,4351.513522,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,80,0.970000,0.428586,428.586100,2333.253458,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,120,0.975800,0.611024,611.024000,1636.596926,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,200,0.979100,0.979996,979.995600,1020.412745,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,4,0,8,1,400,0.979700,1.888228,1888.227800,529.597117,0.090702,156.383472,156.474174,ok,
sift-128-euclidean,SQ,8,0,4,1,10,0.620500,0.134157,134.157000,7453.953204,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,20,0.695600,0.201231,201.230900,4969.415731,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,40,0.736800,0.333815,333.815300,2995.668563,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,80,0.759200,0.581874,581.874400,1718.583942,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,120,0.763800,0.810926,810.925600,1233.158751,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,200,0.765700,1.276041,1276.040600,783.674124,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,8,0,4,1,400,0.766600,2.382509,2382.508600,419.725662,0.166850,222.419095,222.585945,ok,
sift-128-euclidean,SQ,16,0,0,1,,,,,,,,,failed,FAISS scalar quantizer has no 2-bit SQ type for 16x compression
sift-128-euclidean,PQ,2,128,16,1,,,,,,,,,failed,skip PQ training because 1000000 training vectors are fewer than 2555904 required for code_bits=16
sift-128-euclidean,PQ,4,128,8,1,10,0.790400,0.293182,293.181800,3410.852925,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,20,0.892900,0.371142,371.141800,2694.387967,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,40,0.948600,0.530642,530.641700,1884.510773,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,80,0.973800,0.833036,833.035700,1200.428745,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,120,0.980300,1.123395,1123.394900,890.158928,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,200,0.984400,1.694853,1694.852700,590.021776,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,4,128,8,1,400,0.985000,2.986346,2986.346100,334.857370,17.604374,330.017026,347.621400,ok,
sift-128-euclidean,PQ,8,64,8,1,10,0.686400,0.179720,179.720100,5564.207899,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,20,0.762300,0.240194,240.194200,4163.297865,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,40,0.805600,0.341794,341.794000,2925.738895,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,80,0.819900,0.551517,551.517200,1813.180079,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,120,0.823800,0.772793,772.792700,1294.008083,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,200,0.826300,1.176390,1176.389600,850.058518,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,8,64,8,1,400,0.826900,2.136108,2136.108400,468.141036,5.645656,226.273888,231.919544,ok,
sift-128-euclidean,PQ,16,32,8,1,10,0.537500,0.107703,107.703100,9284.783818,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,20,0.591200,0.140223,140.223400,7131.477343,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,40,0.618200,0.215558,215.558100,4639.120497,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,80,0.627500,0.365139,365.138700,2738.685327,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,120,0.629500,0.520765,520.764900,1920.252306,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,200,0.631100,0.815644,815.644100,1226.024929,3.093134,142.493783,145.586917,ok,
sift-128-euclidean,PQ,16,32,8,1,400,0.631700,1.567917,1567.916800,637.788944,3.093134,142.493783,145.586917,ok,
