Experiment,Dataset,RootPolicy,Root_Ratio,Compression_Time(s),Cache_Ratio(%),Cache_Size,ChainMaxLength,Recall@1,QPS(avg),QPS_StdDev,Mean_Latency(us),P99_Latency(us),Decoding_Calls,Distance_Computations,GetOriginalData_Calls,Backtrack_Hops,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call,Cache_Hit_Rate,Avg_Encoding_Chain_Length,Index_Size,Compressed_Index_Size,Compression_Ratio,Num_Rounds
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,0.00,0,2,0.991300,42.33,0.00,23623.71,33051.00,60404680,1157209,30820602,29584078,6040.468000,0.959880,0.000000,0.990000,1176565180,277587180,0.235930,1
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,0.50,5000,2,0.991300,48.73,0.00,20519.94,28406.00,47901500,1157209,29829031,29551480,4790.150000,0.990695,0.384827,0.990000,1176565180,308447180,0.262159,1
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,1.00,10000,2,0.991300,48.26,0.00,20720.58,29071.00,47630245,1157209,29658589,29381038,4763.024500,0.990642,0.384691,0.990000,1176565180,339307180,0.288388,1
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,2.00,20000,2,0.991300,52.37,0.00,19094.19,26645.00,41642199,1157209,29294201,29095099,4164.219900,0.993203,0.571687,0.990000,1176565180,401027180,0.340846,1
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,5.00,50000,2,0.991300,56.27,0.00,17770.56,24706.00,36392841,1157209,28228789,28091639,3639.284100,0.995141,0.705931,0.990000,1176565180,586187180,0.498219,1
root_cache_ratio_sensitivity,sift-128-euclidean,level,0.0100,0.000000,10.00,100000,2,0.991300,63.47,0.00,15754.65,22641.00,27782251,1157209,27782251,27782251,2778.225100,1.000000,1.000000,0.990000,1176565180,666429352,0.566419,1
