Dataset,Algorithm,K,ef,Recall,TimePerQuery(ms)
mnist-784-euclidean,HNSWPQ_8,1,600,0.8106,0.83049
mnist-784-euclidean,HNSWPQ_8,1,800,0.8106,1.09323
mnist-784-euclidean,HNSWPQ_8,1,1000,0.8106,1.4118
mnist-784-euclidean,HNSWSQ_8,1,10,0.9572,0.0891886
mnist-784-euclidean,HNSWSQ_8,1,20,0.9808,0.108314
mnist-784-euclidean,HNSWSQ_8,1,40,0.9856,0.170261
mnist-784-euclidean,HNSWSQ_8,1,80,0.9881,0.303353
mnist-784-euclidean,HNSWSQ_8,1,120,0.9882,0.371757
mnist-784-euclidean,HNSWSQ_8,1,200,0.9883,0.555869
mnist-784-euclidean,HNSWSQ_8,1,400,0.9886,0.971023
mnist-784-euclidean,HNSWSQ_8,1,600,0.9887,1.46432
mnist-784-euclidean,HNSWSQ_8,1,800,0.9887,1.84693
mnist-784-euclidean,HNSWSQ_8,1,1000,0.9887,2.29417
sift-128-euclidean,HNSWPQ_4,1,10,0.5411,0.0945012
sift-128-euclidean,HNSWPQ_4,1,20,0.5933,0.124763
sift-128-euclidean,HNSWPQ_4,1,40,0.6196,0.18673
sift-128-euclidean,HNSWPQ_4,1,80,0.6279,0.331764
sift-128-euclidean,HNSWPQ_4,1,120,0.6299,0.450758
sift-128-euclidean,HNSWPQ_4,1,200,0.6308,0.713267
sift-128-euclidean,HNSWPQ_4,1,400,0.6311,1.39634
sift-128-euclidean,HNSWPQ_4,1,600,0.6311,2.11293
sift-128-euclidean,HNSWPQ_4,1,800,0.6311,2.78878
sift-128-euclidean,HNSWPQ_4,1,1000,0.6312,3.51217
sift-128-euclidean,HNSWPQ_8,1,10,0.3767,0.0806073
sift-128-euclidean,HNSWPQ_8,1,20,0.4173,0.0837194
sift-128-euclidean,HNSWPQ_8,1,40,0.438,0.125606
sift-128-euclidean,HNSWPQ_8,1,80,0.4442,0.231018
sift-128-euclidean,HNSWPQ_8,1,120,0.4468,0.322349
sift-128-euclidean,HNSWPQ_8,1,200,0.4472,0.532358
sift-128-euclidean,HNSWPQ_8,1,400,0.4467,1.07931
sift-128-euclidean,HNSWPQ_8,1,600,0.4467,1.59668
sift-128-euclidean,HNSWPQ_8,1,800,0.4467,2.21366
sift-128-euclidean,HNSWPQ_8,1,1000,0.4467,2.91342
sift-128-euclidean,HNSWSQ_8,1,10,0.7928,0.0839821
sift-128-euclidean,HNSWSQ_8,1,20,0.8914,0.113961
sift-128-euclidean,HNSWSQ_8,1,40,0.9427,0.198148
sift-128-euclidean,HNSWSQ_8,1,80,0.9678,0.371895
sift-128-euclidean,HNSWSQ_8,1,120,0.9734,0.523808
sift-128-euclidean,HNSWSQ_8,1,200,0.9766,0.854118
sift-128-euclidean,HNSWSQ_8,1,400,0.9775,1.64414
sift-128-euclidean,HNSWSQ_8,1,600,0.9777,2.37977
sift-128-euclidean,HNSWSQ_8,1,800,0.9778,3.1942
sift-128-euclidean,HNSWSQ_8,1,1000,0.9778,4.03668
