Dataset,UseTLS,TLSRatio,K,ef,Recall,Latency(ms/query),DecodingCalls,DistanceComputations,AvgDecodingPerQuery
gist-960-euclidean,1,0.30,1,30,0.673000,1.3637,219114,27926,219.1140
gist-960-euclidean,0,0.00,1,40,0.723000,4.3840,958561,106769,958.5610
gist-960-euclidean,1,0.10,1,40,0.708000,0.8681,100551,18282,100.5510
gist-960-euclidean,1,0.20,1,40,0.723000,1.2365,180158,21475,180.1580
gist-960-euclidean,1,0.30,1,40,0.726000,1.6549,271282,27926,271.2820
gist-960-euclidean,0,0.00,1,50,0.763000,5.2534,1142785,106769,1142.7850
gist-960-euclidean,1,0.10,1,50,0.746000,1.0108,120281,18282,120.2810
gist-960-euclidean,1,0.20,1,50,0.767000,1.4666,214345,21475,214.3450
gist-960-euclidean,1,0.30,1,50,0.760000,1.9526,322830,27926,322.8300
gist-960-euclidean,0,0.00,1,60,0.791000,5.9405,1315099,106769,1315.0990
gist-960-euclidean,1,0.10,1,60,0.778000,1.1424,140258,18282,140.2580
gist-960-euclidean,1,0.20,1,60,0.790000,1.6657,248741,21475,248.7410
gist-960-euclidean,1,0.30,1,60,0.793000,2.2347,371708,27926,371.7080
gist-960-euclidean,0,0.00,1,80,0.834000,7.5020,1659876,106769,1659.8760
gist-960-euclidean,1,0.10,1,80,0.820000,1.4590,179362,18282,179.3620
gist-960-euclidean,1,0.20,1,80,0.836000,2.0949,314344,21475,314.3440
gist-960-euclidean,1,0.30,1,80,0.835000,2.8320,469763,27926,469.7630
gist-960-euclidean,0,0.00,1,100,0.869000,9.1220,1995741,106769,1995.7410
gist-960-euclidean,1,0.10,1,100,0.846000,1.7248,218792,18282,218.7920
gist-960-euclidean,1,0.20,1,100,0.863000,2.5000,378010,21475,378.0100
gist-960-euclidean,1,0.30,1,100,0.866000,3.3703,563791,27926,563.7910
gist-960-euclidean,0,0.00,1,120,0.895000,10.6073,2324208,106769,2324.2080
gist-960-euclidean,1,0.10,1,120,0.865000,2.0339,258471,18282,258.4710
gist-960-euclidean,1,0.20,1,120,0.879000,2.8922,441285,21475,441.2850
gist-960-euclidean,1,0.30,1,120,0.891000,3.8939,656449,27926,656.4490
gist-960-euclidean,0,0.00,1,150,0.908000,12.8506,2804325,106769,2804.3250
gist-960-euclidean,1,0.10,1,150,0.891000,2.4579,317035,18282,317.0350
gist-960-euclidean,1,0.20,1,150,0.897000,3.4854,535228,21475,535.2280
gist-960-euclidean,1,0.30,1,150,0.908000,4.6742,792534,27926,792.5340
gist-960-euclidean,0,0.00,1,200,0.922000,16.2885,3580354,106769,3580.3540
gist-960-euclidean,1,0.10,1,200,0.915000,3.1464,415478,18282,415.4780
gist-960-euclidean,1,0.20,1,200,0.920000,4.4688,687252,21475,687.2520
gist-960-euclidean,1,0.30,1,200,0.926000,6.0280,1013203,27926,1013.2030
gist-960-euclidean,0,0.00,1,300,0.945000,22.9060,5045650,106769,5045.6500
gist-960-euclidean,1,0.10,1,300,0.937000,4.5411,611083,18282,611.0830
gist-960-euclidean,1,0.20,1,300,0.947000,6.3084,978417,21475,978.4170
gist-960-euclidean,1,0.30,1,300,0.952000,8.4336,1430735,27926,1430.7350
mnist-784-euclidean,0,0.00,1,10,0.969400,0.4629,1956605,782603,195.6605
mnist-784-euclidean,1,0.10,1,10,0.963400,0.1836,283238,148856,28.3238
mnist-784-euclidean,1,0.20,1,10,0.967700,0.2042,378556,160628,37.8556
mnist-784-euclidean,1,0.30,1,10,0.969400,0.2536,543794,209738,54.3794
mnist-784-euclidean,0,0.00,1,20,0.991300,0.7045,2971550,782603,297.1550
mnist-784-euclidean,1,0.10,1,20,0.988000,0.2439,471115,148856,47.1115
mnist-784-euclidean,1,0.20,1,20,0.989900,0.2707,596142,160628,59.6142
mnist-784-euclidean,1,0.30,1,20,0.991200,0.3355,832906,209738,83.2906
mnist-784-euclidean,0,0.00,1,30,0.996200,0.9140,3895200,782603,389.5200
