Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,40,0.920600,697.915300
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,50,0.934100,835.657700
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,60,0.943500,963.450200
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,80,0.954500,1263.124600
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,100,0.960900,1531.376800
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,120,0.963700,1745.615300
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,150,0.967500,2208.512400
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,200,0.972300,2832.788400
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,300,0.971900,4228.271300
sift-128-euclidean,DeXOR,2,1,1,0.1000,1,400,0.973000,5613.128900
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,10,0.772200,403.499900
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,20,0.874800,600.178900
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,30,0.916500,793.911300
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,40,0.942300,959.178600
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,50,0.956300,1198.733600
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,60,0.963600,1340.769300
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,80,0.972800,1739.671100
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,100,0.976800,2138.641700
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,120,0.978800,2506.829900
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,150,0.982900,3001.600000
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,200,0.983900,3902.652900
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,300,0.986200,5671.626700
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,400,0.987200,7265.107600
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,10,0.780900,586.923300
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,20,0.884500,909.889200
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,30,0.925500,1125.536800
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,40,0.946600,1446.777500
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,50,0.960600,1715.598200
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,60,0.969500,2002.473400
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,80,0.978300,2566.909600
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,100,0.982300,3007.218900
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,120,0.985500,3514.420800
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,150,0.987100,4343.053400
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,200,0.987800,5510.854500
sift-128-euclidean,DeXOR,2,1,1,0.3000,1,300,0.991800,7861.298400
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,10,0.783100,961.382100
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,20,0.885000,1453.226600
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,30,0.927500,1926.619700
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,40,0.948600,2424.025600
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,50,0.961400,2950.014900
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,60,0.970300,3407.373500
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,80,0.979300,4224.584900
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,100,0.985700,4983.833400
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,120,0.986700,5922.379400
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,150,0.989100,7132.807300
sift-128-euclidean,DeXOR,2,1,1,0.5000,1,200,0.991100,9112.085600
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,10,0.785700,6547.598200
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,20,0.887900,10116.859500
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,30,0.928000,13394.577000
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,40,0.950200,16639.175500
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,50,0.964000,19968.509100
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,60,0.971800,23264.173900
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,80,0.980900,29379.870300
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,100,0.984000,35206.369300
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,120,0.987400,40943.878400
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,150,0.989600,49246.733400
sift-128-euclidean,DeXOR,5,0,0,0.0000,1,200,0.991300,62594.146600
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,10,0.738400,767.793300
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,20,0.849000,1205.264700
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,30,0.892700,1642.069900
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,40,0.915300,2083.434600
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,50,0.930000,2466.195800
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,60,0.939600,2863.620600
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,80,0.950400,3767.344900
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,100,0.955000,4656.070400
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,120,0.961000,5539.183400
sift-128-euclidean,DeXOR,5,0,1,0.1000,1,150,0.963600,6727.374400
