Dataset,IndexType,Param,K,Recall,QPS,Latency(us),IndexSizeKB,VectorsPerKB,VQ
mnist-784-euclidean,HNSWPQ_2,ef=150,1,0.968800,1012.941031,987.224300,32207.159180,1.862940,1887.048203
mnist-784-euclidean,HNSWPQ_2,ef=200,1,0.968900,876.644234,1140.713600,32207.159180,1.862940,1633.135470
mnist-784-euclidean,HNSWPQ_2,ef=250,1,0.968900,777.472033,1286.219900,32207.159180,1.862940,1448.383625
mnist-784-euclidean,HNSWPQ_2,ef=300,1,0.969000,702.469821,1423.548700,32207.159180,1.862940,1308.659016
mnist-784-euclidean,HNSWPQ_2,ef=350,1,0.969100,642.306053,1556.890200,32207.159180,1.862940,1196.577537
mnist-784-euclidean,HNSWPQ_2,ef=400,1,0.969200,593.154745,1685.900700,32207.159180,1.862940,1105.011607
mnist-784-euclidean,HNSWPQ_2,ef=500,1,0.969200,515.985941,1938.037300,32207.159180,1.862940,961.250767
mnist-784-euclidean,HNSWPQ_2,ef=10,10,0.916150,2317.888163,431.427200,32207.159180,1.862940,4318.086205
mnist-784-euclidean,HNSWPQ_2,ef=20,10,0.961130,2055.566062,486.484000,32207.159180,1.862940,3829.395912
mnist-784-euclidean,HNSWPQ_2,ef=30,10,0.970410,1862.133935,537.018300,32207.159180,1.862940,3469.043496
mnist-784-euclidean,HNSWPQ_2,ef=40,10,0.973840,1713.229092,583.693100,32207.159180,1.862940,3191.642733
mnist-784-euclidean,HNSWPQ_2,ef=60,10,0.976000,1494.347928,669.188200,32207.159180,1.862940,2783.880291
mnist-784-euclidean,HNSWPQ_2,ef=80,10,0.976650,1338.411803,747.154200,32207.159180,1.862940,2493.380672
mnist-784-euclidean,HNSWPQ_2,ef=100,10,0.977000,1218.744832,820.516300,32207.159180,1.862940,2270.448303
mnist-784-euclidean,HNSWPQ_2,ef=150,10,0.977270,1011.901070,988.238900,32207.159180,1.862940,1885.110818
mnist-784-euclidean,HNSWPQ_2,ef=200,10,0.977340,875.720159,1141.917300,32207.159180,1.862940,1631.413975
