Dataset,IndexType,ActualVariant,IndexFile,Component,Bytes,GiB,FileSizeBytes,N,Dim,Note
fashion-mnist-784-euclidean,HNSW+PQ,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Graph Structure,7937024,0.007392,56500131,60000,784,"Faiss HNSW neighbors array"
fashion-mnist-784-euclidean,HNSW+PQ,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,720124,0.000671,56500131,60000,784,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
fashion-mnist-784-euclidean,HNSW+PQ,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Quantizer Codebook,802816,0.000748,56500131,60000,784,"PQ centroids or SQ trained ranges"
fashion-mnist-784-euclidean,HNSW+PQ,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1,fashion-mnist-784-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,167,0.000000,56500131,60000,784,"serialized headers and small fields"
fashion-mnist-784-euclidean,HNSW+SQ,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Quantized Vector Codes,47040000,0.043809,55703582,60000,784,""
fashion-mnist-784-euclidean,HNSW+SQ,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Graph Structure,7937024,0.007392,55703582,60000,784,"Faiss HNSW neighbors array"
fashion-mnist-784-euclidean,HNSW+SQ,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,720124,0.000671,55703582,60000,784,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
fashion-mnist-784-euclidean,HNSW+SQ,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Quantizer Codebook,6308,0.000006,55703582,60000,784,"PQ centroids or SQ trained ranges"
fashion-mnist-784-euclidean,HNSW+SQ,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8,fashion-mnist-784-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,126,0.000000,55703582,60000,784,"serialized headers and small fields"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Vector Payloads,47163600,0.043925,60776029,60000,784,"compressed scaling-based payloads"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Graph Structure,4027088,0.003751,60776029,60000,784,"compacted level-0 links and upper-level links"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,480000,0.000447,60776029,60000,784,"labels"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Compression Metadata,540000,0.000503,60776029,60000,784,"level0 start positions and uncompressed mask"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Lightweight Codebook,6682816,0.006224,60776029,60000,784,"two-level filtering PQ data and centroids"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Cache,1881600,0.001752,60776029,60000,784,"uncompressed vectors stored in the compacted index"
fashion-mnist-784-euclidean,LVC,ALP,fashion-mnist-784-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,925,0.000001,60776029,60000,784,"serialized headers and small fields"
gist-960-euclidean,HNSW,hnswlib-float,gist-960-euclidean_train.fvecs_hnsw_float.bin,Vector Payloads,3840000000,3.576279,3988565208,1000000,960,""
gist-960-euclidean,HNSW,hnswlib-float,gist-960-euclidean_train.fvecs_hnsw_float.bin,Graph Structure,140565112,0.130911,3988565208,1000000,960,"level-0 links, upper-level links, and serialized upper-link size fields"
gist-960-euclidean,HNSW,hnswlib-float,gist-960-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,8000000,0.007451,3988565208,1000000,960,"labels"
gist-960-euclidean,HNSW,hnswlib-float,gist-960-euclidean_train.fvecs_hnsw_float.bin,Original Metadata,96,0.000000,3988565208,1000000,960,"serialized headers and small fields"
gist-960-euclidean,HNSW+PQ,gist-960-euclidean_train.fvecs_HNSWPQ_1,gist-960-euclidean_train.fvecs_HNSWPQ_1.bin,Quantized Vector Codes,960000000,0.894070,1105241443,1000000,960,""
gist-960-euclidean,HNSW+PQ,gist-960-euclidean_train.fvecs_HNSWPQ_1,gist-960-euclidean_train.fvecs_HNSWPQ_1.bin,Graph Structure,132258112,0.123175,1105241443,1000000,960,"Faiss HNSW neighbors array"
gist-960-euclidean,HNSW+PQ,gist-960-euclidean_train.fvecs_HNSWPQ_1,gist-960-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,12000124,0.011176,1105241443,1000000,960,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
gist-960-euclidean,HNSW+PQ,gist-960-euclidean_train.fvecs_HNSWPQ_1,gist-960-euclidean_train.fvecs_HNSWPQ_1.bin,Quantizer Codebook,983040,0.000916,1105241443,1000000,960,"PQ centroids or SQ trained ranges"
gist-960-euclidean,HNSW+PQ,gist-960-euclidean_train.fvecs_HNSWPQ_1,gist-960-euclidean_train.fvecs_HNSWPQ_1.bin,Original Metadata,167,0.000000,1105241443,1000000,960,"serialized headers and small fields"
gist-960-euclidean,HNSW+SQ,gist-960-euclidean_train.fvecs_HNSWSQ_8,gist-960-euclidean_train.fvecs_HNSWSQ_8.bin,Quantized Vector Codes,960000000,0.894070,1104266078,1000000,960,""
gist-960-euclidean,HNSW+SQ,gist-960-euclidean_train.fvecs_HNSWSQ_8,gist-960-euclidean_train.fvecs_HNSWSQ_8.bin,Graph Structure,132258112,0.123175,1104266078,1000000,960,"Faiss HNSW neighbors array"
gist-960-euclidean,HNSW+SQ,gist-960-euclidean_train.fvecs_HNSWSQ_8,gist-960-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,12000124,0.011176,1104266078,1000000,960,"Faiss HNSW levels, offsets, probabilities, and scalar fields"
gist-960-euclidean,HNSW+SQ,gist-960-euclidean_train.fvecs_HNSWSQ_8,gist-960-euclidean_train.fvecs_HNSWSQ_8.bin,Quantizer Codebook,7716,0.000007,1104266078,1000000,960,"PQ centroids or SQ trained ranges"
gist-960-euclidean,HNSW+SQ,gist-960-euclidean_train.fvecs_HNSWSQ_8,gist-960-euclidean_train.fvecs_HNSWSQ_8.bin,Original Metadata,126,0.000000,1104266078,1000000,960,"serialized headers and small fields"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Vector Payloads,1410692040,1.313809,1650247605,1000000,960,"compressed scaling-based payloads"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Graph Structure,63171424,0.058833,1650247605,1000000,960,"compacted level-0 links and upper-level links"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,8000000,0.007451,1650247605,1000000,960,"labels"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Compression Metadata,9000000,0.008382,1650247605,1000000,960,"level0 start positions and uncompressed mask"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Lightweight Codebook,120983040,0.112674,1650247605,1000000,960,"two-level filtering PQ data and centroids"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Cache,38400000,0.035763,1650247605,1000000,960,"uncompressed vectors stored in the compacted index"
gist-960-euclidean,LVC,ALP,gist-960-euclidean_train.fvecs_hnswalp_simplified_pq.bin,Original Metadata,1101,0.000001,1650247605,1000000,960,"serialized headers and small fields"
mnist-784-euclidean,HNSW,hnswlib-float,mnist-784-euclidean_train.fvecs_hnsw_float.bin,Vector Payloads,188160000,0.175238,197063120,60000,784,""
mnist-784-euclidean,HNSW,hnswlib-float,mnist-784-euclidean_train.fvecs_hnsw_float.bin,Graph Structure,8423024,0.007845,197063120,60000,784,"level-0 links, upper-level links, and serialized upper-link size fields"
