Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Num_Rounds,Enable_Profiling,Recall,TimePerQuery(us),P99_Latency(us),QPS,Decoding_Calls,GetOriginalData_Calls,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,80,3,1,0.972800,2038.255700,2718.00,490.41,3984715,2591877,398.471500,0.992512
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,100,3,1,0.976800,2464.784833,3247.33,405.57,4834014,3142956,483.401400,0.992849
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,120,3,1,0.978800,2886.888500,3795.33,346.29,5669476,3685046,566.947600,0.993103
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,150,3,1,0.982900,3510.200833,4575.67,284.81,6897400,4481891,689.740000,0.993349
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,200,3,1,0.983900,4522.769500,5860.33,221.06,8894373,5778045,889.437300,0.993600
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,300,3,1,0.986200,6524.346933,8429.67,153.27,12754614,8283968,1275.461400,0.993886
sift-128-euclidean,DeXOR,2,1,1,0.2000,1,400,3,1,0.987200,8337.077300,10669.00,119.93,16490610,10709169,1649.061000,0.994004
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,10,3,1,0.785500,11106.265900,19022.33,90.03,23674187,3891590,2367.418700,5.083423
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,20,3,1,0.891200,17372.073533,27153.33,57.56,36811508,5613683,3681.150800,5.557461
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,30,3,1,0.930700,23253.847200,34349.67,43.00,49060094,7215489,4906.009400,5.799275
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,40,3,1,0.950500,28832.789400,40574.00,34.68,60979527,8774905,6097.952700,5.949309
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,50,3,1,0.963200,34468.395300,47200.67,29.01,72719345,10309973,7271.934500,6.053301
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,60,3,1,0.971800,39855.429167,53449.67,25.09,84179882,11809229,8417.988200,6.128313
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,80,3,1,0.980400,50430.029467,66709.00,19.83,106533320,14732912,10653.332000,6.230975
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,100,3,1,0.984500,60735.766000,79987.67,16.46,128156831,17560164,12815.683100,6.298157
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,120,3,1,0.987400,70778.274267,93469.33,14.13,149129286,20303516,14912.928600,6.344998
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,150,3,1,0.988500,84964.409567,113066.67,11.77,179622095,24289349,17962.209500,6.395097
sift-128-euclidean,DeXOR,-1,0,0,0.0000,1,200,3,1,0.990300,108099.361433,144967.33,9.25,228154211,30630711,22815.421100,6.448544
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,10,3,1,0.776900,2146.396700,3718.67,465.72,4435471,730907,443.547100,5.068448
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,20,3,1,0.879300,3364.845733,5286.67,297.14,6911320,1049812,691.132000,5.583388
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,30,3,1,0.920500,4482.353300,6652.00,223.05,9266758,1352180,926.675800,5.853199
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,40,3,1,0.942200,5597.233300,7908.67,178.63,11571862,1648117,1157.186200,6.021262
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,50,3,1,0.955900,6697.521167,9088.00,149.29,13837234,1939212,1383.723400,6.135493
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,60,3,1,0.965300,7791.538400,10282.00,128.33,16087042,2227326,1608.704200,6.222581
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,80,3,1,0.972500,9932.260433,12787.33,100.67,20508980,2793981,2050.898000,6.340415
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,100,3,1,0.976500,12046.131867,15380.33,83.01,24856981,3350716,2485.698100,6.418409
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,120,3,1,0.980600,14179.804100,17987.33,70.52,29135707,3898143,2913.570700,6.474253
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,150,3,1,0.983000,17243.603167,21715.33,57.99,35436259,4703346,3543.625900,6.534266
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,200,3,1,0.985100,22225.382133,27805.33,44.99,45696644,6013677,4569.664400,6.598786
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,300,3,1,0.987500,31892.754700,39555.67,31.35,65520038,8543812,6552.003800,6.668713
sift-128-euclidean,DeXOR,-1,0,1,0.2000,1,400,3,1,0.986800,41118.478433,50564.00,24.32,84756643,10994949,8475.664300,6.708689
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,10,3,1,0.785500,9814.008300,16947.33,101.89,19547895,2958299,1954.789500,6.178859
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,20,3,1,0.891200,15450.208300,24347.00,64.72,30896151,4660960,3089.615100,6.200800
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,30,3,1,0.930700,20989.094367,31070.67,47.64,41481488,6244759,4148.148800,6.215064
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,40,3,1,0.950500,27042.507833,38360.00,37.00,51782966,7786513,5178.296600,6.223095
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,50,3,1,0.963200,32894.777767,45133.67,30.40,61930325,9304545,6193.032500,6.228865
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,60,3,1,0.971800,38034.324900,51149.00,26.29,71834750,10787028,7183.475000,6.232423
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,80,3,1,0.980400,48032.677833,63789.33,20.82,91153656,13677755,9115.365600,6.237659
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,100,3,1,0.984500,55032.981500,72752.00,18.17,109843286,16473595,10984.328600,6.241306
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,120,3,1,0.987400,65347.477000,86689.00,15.31,127968026,19186185,12796.802600,6.243399
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,150,3,1,0.988500,79281.470533,105468.33,12.61,154324750,23127811,15432.475000,6.246506
sift-128-euclidean,DeXOR,-1,1,0,0.0000,1,200,3,1,0.990300,100940.275033,135446.00,9.91,196274280,29398797,19627.428000,6.250189
