Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Num_Rounds,Enable_Profiling,Recall,TimePerQuery(us),P99_Latency(us),QPS,Decoding_Calls,GetOriginalData_Calls,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,100,3,1,0.862000,476718.483333,639914.67,2.10,11561859,1992526,11561.859000,5.397052
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,120,3,1,0.878000,554211.904000,724749.33,1.80,13445669,2315914,13445.669000,5.400590
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,150,3,1,0.899000,670387.199000,874064.00,1.49,16271291,2801668,16271.291000,5.402949
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,200,3,1,0.912000,854995.659000,1095750.00,1.17,20774413,3575524,20774.413000,5.405590
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,300,3,1,0.930000,1205296.894000,1562766.33,0.83,29309347,5040569,29309.347000,5.410849
gist-960-euclidean,DeXOR,-1,1,0,0.0000,1,400,3,1,0.942000,1533305.383333,1990030.33,0.65,37285187,6407505,37285.187000,5.415448
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,10,3,1,0.481000,16356.719000,28883.00,61.13,385672,67108,385.672000,5.339587
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,20,3,1,0.602000,26466.510000,43039.67,37.78,627999,108860,627.999000,5.361630
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,30,3,1,0.668000,35255.359333,56225.33,28.36,840004,145169,840.004000,5.380556
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,40,3,1,0.715000,43645.877000,65064.67,22.91,1040848,179789,1040.848000,5.383277
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,50,3,1,0.756000,51849.611667,75689.67,19.29,1238797,213928,1238.797000,5.385167
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,60,3,1,0.793000,59996.076000,83217.33,16.67,1433855,247586,1433.855000,5.385474
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,80,3,1,0.830000,75862.558333,103172.33,13.18,1813200,312811,1813.200000,5.389440
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,100,3,1,0.860000,91497.487333,119880.67,10.93,2189064,377203,2189.064000,5.397656
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,120,3,1,0.879000,106996.913667,139377.67,9.35,2562322,441222,2562.322000,5.401791
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,150,3,1,0.893000,129534.358333,162809.00,7.72,3102402,533885,3102.402000,5.405576
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,200,3,1,0.908000,166409.696000,208275.67,6.01,3987308,685521,3987.308000,5.411483
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,300,3,1,0.929000,237285.796667,296616.67,4.21,5688403,976451,5688.403000,5.421123
gist-960-euclidean,DeXOR,-1,1,1,0.2000,1,400,3,1,0.941000,304883.877333,376325.67,3.28,7308015,1252843,7308.015000,5.429082
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,10,3,1,0.959500,7046.541100,11304.00,141.90,4069094,2281608,406.909400,0.783433
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,20,3,1,0.983600,10185.195333,15808.33,98.17,5874814,3188982,587.481400,0.842222
fashion-mnist-784-euclidean,DeXOR,2,0,0,0.0000,1,30,3,1,0.991100,12998.972367,19955.33,76.92,7480109,3995649,748.010900,0.872064
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,10,3,1,0.956500,1591.560567,2369.67,628.02,843997,482419,84.399700,0.749510
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,20,3,1,0.981200,2347.972000,3284.00,425.76,1264906,693828,126.490600,0.823083
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,30,3,1,0.989200,3089.250667,4194.67,323.62,1679973,902330,167.997300,0.861817
fashion-mnist-784-euclidean,DeXOR,2,0,1,0.2000,1,40,3,1,0.992500,3829.898533,5115.67,261.05,2089110,1107937,208.911000,0.885586
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,10,3,1,0.959500,5889.906400,9855.00,169.76,2939272,1774780,293.927200,0.974920
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,20,3,1,0.983600,8774.147700,14008.33,113.96,4454906,2671180,445.490600,0.980986
fashion-mnist-784-euclidean,DeXOR,2,1,0,0.0000,1,30,3,1,0.991100,11344.876933,17961.67,88.14,5798960,3468024,579.896000,0.983768
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,10,3,1,0.956500,1346.111867,2107.33,742.46,598694,361464,59.869400,0.972149
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,20,3,1,0.981200,2046.846067,2978.67,488.38,952815,571021,95.281500,0.980016
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,30,3,1,0.989200,2727.551100,3865.00,366.53,1302022,777752,130.202200,0.983581
fashion-mnist-784-euclidean,DeXOR,2,1,1,0.2000,1,40,3,1,0.992500,3399.426067,4698.33,294.10,1646044,981427,164.604400,0.985509
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,10,3,1,0.959900,24659.866833,41525.67,40.55,12432870,2290683,1243.287000,4.427582
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,20,3,1,0.985600,36788.433867,58042.33,27.18,18483466,3193499,1848.346600,4.787841
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,30,3,1,0.992800,47635.085967,73817.00,20.99,23887555,3999900,2388.755500,4.972038
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,10,3,1,0.957200,5269.936367,8707.67,189.73,2574599,480536,257.459900,4.357765
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,20,3,1,0.983400,8204.917067,12449.33,121.87,4022469,691298,402.246900,4.818719
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,30,3,1,0.989900,11093.953300,16119.33,90.13,5450287,899007,545.028700,5.062563
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,40,3,1,0.992900,13962.563267,19880.33,71.62,6865250,1104907,686.525000,5.213419
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,10,3,1,0.959900,21085.694633,36280.67,47.42,10021737,1775369,1002.173700,5.076625
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,20,3,1,0.985600,31912.412433,51869.33,31.34,15183899,2667145,1518.389900,5.125359
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,30,3,1,0.992800,41407.989200,65614.33,24.15,19795177,3463561,1979.517700,5.147993
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,10,3,1,0.957200,4533.417267,7881.00,220.55,2077159,359581,207.715900,5.205283
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,20,3,1,0.983400,7136.946367,11369.00,140.10,3319328,568461,331.932800,5.269806
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,30,3,1,0.989900,9708.426600,14679.00,102.99,4543744,774293,454.374400,5.299954
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,40,3,1,0.992900,12265.989000,18271.67,81.52,5757071,978378,575.707100,5.317172
