Experiment,Dataset,RootPolicy,Root_Ratio,Compression_Time(s),Cache_Ratio(%),Cache_Size,ChainMaxLength,Recall@1,QPS(avg),QPS_StdDev,Mean_Latency(us),P99_Latency(us),Decoding_Calls,Distance_Computations,GetOriginalData_Calls,Backtrack_Hops,Avg_Decode_Per_Query,Avg_Backtrack_Hops_Per_Call,Cache_Hit_Rate,Avg_Encoding_Chain_Length,Index_Size,Compressed_Index_Size,Compression_Ratio,Num_Rounds
root_policy_ablation,sift-128-euclidean,random,0.0100,0.000000,0.00,0,-1,0.992400,7.71,0.00,129751.32,203632.00,278643826,1144785,30810427,247833399,27864.382600,8.043816,0.000000,8.216678,1176565044,273389009,0.232362,1
root_policy_ablation,sift-128-euclidean,level,0.0100,0.000000,0.00,0,-1,0.992000,8.91,0.00,112221.30,175480.00,239717172,1160897,30829791,208887381,23971.717200,6.775504,0.000000,7.223911,1176565248,273357632,0.232335,1
root_policy_ablation,sift-128-euclidean,level0degree,0.0100,0.000000,0.00,0,-1,0.991100,9.37,0.00,106744.12,154556.00,232262435,1156444,30822072,201440363,23226.243500,6.535588,0.000000,6.913058,1176565112,273357188,0.232335,1
