Dataset,Algorithm,ChainMaxLength,Vectors,Dim,BuildTime(s),CompressTime(s),DataCompressionRatio,IndexCompressionRatio,IndexFile
mnist-784-euclidean,Elf,2,60000,784,9.253526,29.069698,8.216803,7.483580,mnist-784-euclidean_Elf_ch2_pq.bin
mnist-784-euclidean,Elf,5,60000,784,9.128752,34.873442,9.208128,8.274851,mnist-784-euclidean_Elf_ch5_pq.bin
mnist-784-euclidean,Elf,-1,60000,784,9.230162,33.448091,9.321965,8.365296,mnist-784-euclidean_Elf_chunlim_pq.bin
mnist-784-euclidean,Camel,2,60000,784,9.146537,31.163719,5.433344,5.141698,mnist-784-euclidean_Camel_ch2_pq.bin
mnist-784-euclidean,Camel,5,60000,784,9.174144,37.648540,5.561977,5.253556,mnist-784-euclidean_Camel_ch5_pq.bin
mnist-784-euclidean,Camel,-1,60000,784,9.723996,39.129700,5.593729,5.281700,mnist-784-euclidean_Camel_chunlim_pq.bin
mnist-784-euclidean,DeXORPlus,2,60000,784,9.144543,26.876809,10.240960,9.080582,mnist-784-euclidean_DeXORPlus_ch2_pq.bin
mnist-784-euclidean,DeXORPlus,5,60000,784,9.337742,36.848597,10.429982,9.223802,mnist-784-euclidean_DeXORPlus_ch5_pq.bin
mnist-784-euclidean,DeXORPlus,-1,60000,784,9.846065,37.967364,10.523415,9.294311,mnist-784-euclidean_DeXORPlus_chunlim_pq.bin
sift-128-euclidean,DeXOR,2,1000000,128,71.992613,57.587137,6.389919,4.366037,sift-128-euclidean_DeXOR_ch2_pq.bin
sift-128-euclidean,DeXOR,5,1000000,128,70.522737,141.207272,6.421764,4.379371,sift-128-euclidean_DeXOR_ch5_pq.bin
sift-128-euclidean,DeXOR,-1,1000000,128,64.742747,109.912923,6.569291,4.438154,sift-128-euclidean_DeXOR_chunlim_pq.bin
sift-128-euclidean,Gorilla,2,1000000,128,85.159587,56.216996,1.148836,1.175879,sift-128-euclidean_Gorilla_ch2_pq.bin
sift-128-euclidean,Gorilla,5,1000000,128,76.101298,115.368590,3.882294,3.154759,sift-128-euclidean_Gorilla_ch5_pq.bin
sift-128-euclidean,Gorilla,-1,1000000,128,74.293064,68.408408,4.440200,3.462233,sift-128-euclidean_Gorilla_chunlim_pq.bin
sift-128-euclidean,Elf,2,1000000,128,80.540886,61.559640,3.686186,3.040651,sift-128-euclidean_Elf_ch2_pq.bin
sift-128-euclidean,Elf,5,1000000,128,67.713074,117.333846,4.440438,3.461997,sift-128-euclidean_Elf_ch5_pq.bin
sift-128-euclidean,Elf,-1,1000000,128,69.242383,91.041176,4.599940,3.546081,sift-128-euclidean_Elf_chunlim_pq.bin
sift-128-euclidean,Camel,2,1000000,128,71.599488,55.605377,3.462723,2.905534,sift-128-euclidean_Camel_ch2_pq.bin
sift-128-euclidean,Camel,5,1000000,128,65.819341,121.501113,3.666339,3.028378,sift-128-euclidean_Camel_ch5_pq.bin
sift-128-euclidean,Camel,-1,1000000,128,75.246332,93.953871,3.819896,3.118624,sift-128-euclidean_Camel_chunlim_pq.bin
sift-128-euclidean,DeXORPlus,2,1000000,128,66.599423,60.834669,5.918773,4.169580,sift-128-euclidean_DeXORPlus_ch2_pq.bin
sift-128-euclidean,DeXORPlus,5,1000000,128,65.063855,140.952775,5.942540,4.178664,sift-128-euclidean_DeXORPlus_ch5_pq.bin
sift-128-euclidean,DeXORPlus,-1,1000000,128,77.273744,105.214747,6.066435,4.232999,sift-128-euclidean_DeXORPlus_chunlim_pq.bin
deep-image-96-angular,DeXOR,-1,9990000,96,791.694643,2938.785608,1.095395,1.131793,deep-image-96-angular_DeXOR_chunlim_pq.bin
deep-image-96-angular,Gorilla,-1,9990000,96,727.802118,244.942526,1.759615,1.677719,deep-image-96-angular_Gorilla_chunlim_pq.bin
deep-image-96-angular,Elf,-1,9990000,96,693.315659,442.981092,1.739938,1.662769,deep-image-96-angular_Elf_chunlim_pq.bin
deep-image-96-angular,Camel,-1,9990000,96,691.168163,280.362115,3.281775,2.658623,deep-image-96-angular_Camel_chunlim_pq.bin
fashion-mnist-784-euclidean,DeXOR,3,60000,784,3.788064,76.999440,7.520189,7.037057,fashion-mnist-784-euclidean_DeXOR_ch3_pq.bin
fashion-mnist-784-euclidean,DeXOR,4,60000,784,4.288526,82.078008,7.597279,7.102541,fashion-mnist-784-euclidean_DeXOR_ch4_pq.bin
fashion-mnist-784-euclidean,DeXOR,6,60000,784,4.255246,45.936709,7.661120,7.156938,fashion-mnist-784-euclidean_DeXOR_ch6_pq.bin
