Dataset,Algorithm,ChainMaxLength,UseCacheTop1PctByLevel,UseTwoLevelSearch,TlsRatio,K,ef,Recall,TimePerQuery(us)
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.2000,1,20,0.983100,4608.373700
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.2000,1,30,0.990500,6411.636200
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.3000,1,10,0.960600,4269.591200
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.3000,1,20,0.985200,6364.288700
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.3000,1,30,0.992600,8435.285800
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.5000,1,10,0.961000,7246.370500
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.5000,1,20,0.985700,10731.416500
fashion-mnist-784-euclidean,DeXOR,5,1,1,0.5000,1,30,0.992700,13960.930800
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,10,0.959900,27512.032900
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,20,0.985600,41150.682700
fashion-mnist-784-euclidean,DeXOR,-1,0,0,0.0000,1,30,0.992800,53329.746500
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,10,0.951400,4603.216800
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,20,0.977800,7695.285000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,30,0.985100,10649.529900
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,40,0.987900,13579.932000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,50,0.989000,16304.878000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,60,0.989800,18908.600700
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.1000,1,80,0.991200,24820.284000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,10,0.957200,5740.987100
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,20,0.983400,8946.197200
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,30,0.989900,12239.287500
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.2000,1,40,0.992900,15050.705400
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.3000,1,10,0.959600,7906.428100
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.3000,1,20,0.984900,11842.108800
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.3000,1,30,0.992300,15696.610000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.5000,1,10,0.959900,13556.745000
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.5000,1,20,0.985600,19908.078600
fashion-mnist-784-euclidean,DeXOR,-1,0,1,0.5000,1,30,0.992500,26399.997700
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,10,0.959900,24455.163800
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,20,0.985600,36007.080100
fashion-mnist-784-euclidean,DeXOR,-1,1,0,0.0000,1,30,0.992800,46040.803800
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,10,0.951400,3937.452000
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,20,0.977800,6465.247500
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,30,0.985100,8949.535700
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,40,0.987900,11473.028700
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,50,0.989000,13819.186500
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,60,0.989800,16413.777200
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.1000,1,80,0.991200,21089.747800
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,10,0.957200,4785.527500
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,20,0.983400,7513.730600
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,30,0.989900,10355.137900
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.2000,1,40,0.992900,12881.394400
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.3000,1,10,0.959600,6575.763400
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.3000,1,20,0.984900,10091.626000
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.3000,1,30,0.992300,14027.449900
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.5000,1,10,0.959900,11555.512700
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.5000,1,20,0.985600,17600.406500
fashion-mnist-784-euclidean,DeXOR,-1,1,1,0.5000,1,30,0.992500,22612.399000
fashion-mnist-784-euclidean,Gorilla,2,0,0,0.0000,1,10,0.958400,5591.886700
fashion-mnist-784-euclidean,Gorilla,2,0,0,0.0000,1,20,0.984200,7851.106100
fashion-mnist-784-euclidean,Gorilla,2,0,0,0.0000,1,30,0.991900,9844.730300
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.1000,1,10,0.951200,1044.231700
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.1000,1,20,0.977100,1696.365700
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.1000,1,30,0.984400,2101.660700
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.1000,1,40,0.988200,2873.077900
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.1000,1,50,0.990200,3312.419300
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.2000,1,10,0.955400,1324.665800
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.2000,1,20,0.981900,1949.903000
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.2000,1,30,0.990100,2638.625800
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.3000,1,10,0.958000,1724.023900
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.3000,1,20,0.983500,2447.256600
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.3000,1,30,0.991600,3276.700100
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.5000,1,10,0.958400,2887.762300
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.5000,1,20,0.984100,4020.230900
fashion-mnist-784-euclidean,Gorilla,2,0,1,0.5000,1,30,0.991800,5222.736400
fashion-mnist-784-euclidean,Gorilla,2,1,0,0.0000,1,10,0.958400,3245.670000
fashion-mnist-784-euclidean,Gorilla,2,1,0,0.0000,1,20,0.984200,4720.498800
fashion-mnist-784-euclidean,Gorilla,2,1,0,0.0000,1,30,0.991900,6132.313700
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.1000,1,10,0.951200,706.118100
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.1000,1,20,0.977100,1063.490100
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.1000,1,30,0.984400,1538.435600
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.1000,1,40,0.988200,1893.383000
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.1000,1,50,0.990200,2176.982000
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.2000,1,10,0.955400,847.458800
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.2000,1,20,0.981900,1273.316900
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.2000,1,30,0.990100,1636.426100
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.3000,1,10,0.958000,1147.419000
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.3000,1,20,0.983500,1720.610200
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.3000,1,30,0.991600,2122.280100
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.5000,1,10,0.958400,1798.913800
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.5000,1,20,0.984100,2638.209700
fashion-mnist-784-euclidean,Gorilla,2,1,1,0.5000,1,30,0.991800,3364.271900
fashion-mnist-784-euclidean,Gorilla,5,0,0,0.0000,1,10,0.962000,12103.410600
fashion-mnist-784-euclidean,Gorilla,5,0,0,0.0000,1,20,0.985500,17734.155200
fashion-mnist-784-euclidean,Gorilla,5,0,0,0.0000,1,30,0.992200,22816.028900
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,10,0.951800,2029.563200
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,20,0.977400,3181.300900
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,30,0.984800,4524.568000
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,40,0.988200,5682.826700
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,50,0.989600,6909.207000
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.1000,1,60,0.990400,8291.321200
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.2000,1,10,0.958800,2608.107000
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.2000,1,20,0.982900,3981.964900
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.2000,1,30,0.990100,5235.041500
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.3000,1,10,0.962100,3541.092800
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.3000,1,20,0.985000,5170.912900
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.3000,1,30,0.992200,6694.377600
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.5000,1,10,0.962200,5859.657300
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.5000,1,20,0.985800,8639.053000
fashion-mnist-784-euclidean,Gorilla,5,0,1,0.5000,1,30,0.992300,11344.439000
fashion-mnist-784-euclidean,Gorilla,5,1,0,0.0000,1,10,0.962000,9684.802600
fashion-mnist-784-euclidean,Gorilla,5,1,0,0.0000,1,20,0.985500,14531.636800
fashion-mnist-784-euclidean,Gorilla,5,1,0,0.0000,1,30,0.992200,18613.479200
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,10,0.951800,1744.024400
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,20,0.977400,2672.006800
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,30,0.984800,3753.344000
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,40,0.988200,4711.603000
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,50,0.989600,5794.423100
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.1000,1,60,0.990400,6727.125900
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.2000,1,10,0.958800,2106.380500
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.2000,1,20,0.982900,3347.590100
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.2000,1,30,0.990100,4422.611100
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.3000,1,10,0.962100,2792.823000
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.3000,1,20,0.985000,4297.052800
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.3000,1,30,0.992200,5590.658500
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.5000,1,10,0.962200,4910.512800
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.5000,1,20,0.985800,7241.753100
fashion-mnist-784-euclidean,Gorilla,5,1,1,0.5000,1,30,0.992300,9355.929700
fashion-mnist-784-euclidean,Gorilla,-1,0,0,0.0000,1,10,0.961500,17695.963800
fashion-mnist-784-euclidean,Gorilla,-1,0,0,0.0000,1,20,0.985400,26032.166300
fashion-mnist-784-euclidean,Gorilla,-1,0,0,0.0000,1,30,0.991800,33690.404300
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,10,0.953400,3059.433700
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,20,0.977700,4796.567200
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,30,0.983700,6708.354300
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,40,0.986300,8827.248100
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,50,0.987900,10660.211400
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,60,0.988700,12833.020200
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,80,0.989700,16474.198000
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.1000,1,100,0.990300,19893.493100
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.2000,1,10,0.958700,3790.422500
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.2000,1,20,0.983600,5940.748500
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.2000,1,30,0.990200,7898.119300
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.3000,1,10,0.960200,5198.075100
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.3000,1,20,0.985100,7794.304900
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.3000,1,30,0.990900,10406.522900
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.5000,1,10,0.961500,8994.062000
fashion-mnist-784-euclidean,Gorilla,-1,0,1,0.5000,1,20,0.985400,13383.166100
